Lab,Topics,Activities
Feb 6,SPSS & R ,Groups formation
Feb 13,Constructs,Project Overview DUE
Feb 20,SPSS & R , Peer review
Feb 27,Item Writing,Initial Item Review (takes place)
Mar 6,SPSS & R ,Initial Item Review DUE
Mar 13,Admin (planning),CITI training DUE
Mar 20,Admin (delivering), Exam items
Mar 27, Spring Break!!,
Apr 3, Paper structure,
Apr 10,Paper development,Item Analysis and Reliability (takes place)
Apr 17,Paper development,Item Analysis and Reliability DUE
Apr 24,Paper revision,
May 1,Presentation prep,
May 8,Presentation prep,
May 15,Delivery,Presentation & Paper DUE
