Week,Topics,K&S Readings
Feb 3-8,Intro,Chapter 1
Feb 10-14,Norms & Correlations,Chapters 2 & 3
Feb 17-21,Reliabilty & Validity,Chapters 4 & 5
Feb 24-28,Item Writing,Chapter 6
Mar 3-7,Test Admin & Interviews,Chapters 7 & 8
Mar 10-14,Intelligence,Chapters 9 & 10
Mar 17-21,Populations,Chapters 11 & 12
Mar 24-28,Clinical Applications,Chapter 13
Mar 31-Apr 4,Projective & Computers,Chapters 14 & 15
Apr 7-11,Counseling,Chapter 16
Apr 14-17,Health Care,Chapter 17
Apr 21-25,Industrial Applications,Chapter 18
Apr 28-May 2,Bias,Chapter 19
May 5-10,Law,Chapter 20
May 13-17,Future,Chapter 21
